"","denom_cia","dt_fim_exerc","cnpj_cia","dt_cotacao","lucro_liquido","pl","ativo_circulante","ativo_nao_circulante","ativo_total","passivo_circulante","passivo_nao_circulante","passivo_total","roe","roi","popl","poat","roa","gaf","pl_alternativo","ebit","ebitda","receitas_financeiras","resultado_financeiro","depreciacao","dt_ini_exerc","cd_cvm","ticker","close","close_dividends","dividends_acc","close_tres_meses","close_dividends_tres_meses","dividends_acc_tres_meses"
"27","BRB BCO DE BRASILIA S.A.",2018-12-31,"00000208000100",2019-03-29,324211,1600178,NA,NA,15308862,NA,NA,13708684,0.202609334711513,0.0211779948111101,8.56697442409532,0.895473745860404,0.0371465233666617,9.56697442409532,1600178,NA,NA,NA,NA,-62933,2018-01-01,14206,"BSLI4",3.85430955886841,5.35352055886841,1.499211,3.46051263809204,4.91298263809204,1.45247
"28","BRB BCO DE BRASILIA S.A.",2018-12-31,"00000208000100",2019-03-29,324211,1600178,NA,NA,15308862,NA,NA,13708684,0.202609334711513,0.0211779948111101,8.56697442409532,0.895473745860404,0.0371465233666617,9.56697442409532,1600178,NA,NA,NA,NA,-62933,2018-01-01,14206,"BSLI3",3.26922178268433,4.72169178268433,1.45247,3.46051263809204,4.91298263809204,1.45247
"29","BRB BCO DE BRASILIA S.A.",2019-12-31,"00000208000100",2020-03-31,417146,1913832,NA,NA,17058749,NA,NA,15144917,0.21796375021423,0.0244534930433644,7.91339939973833,0.887809358118816,0.0340124589440879,8.91339939973833,1913832,NA,NA,NA,NA,-83307,2019-01-01,14206,"BSLI3",6.11952209472656,7.89211409472656,1.772592,20.6063232421875,22.4553622421875,1.849039
"30","BRB BCO DE BRASILIA S.A.",2019-12-31,"00000208000100",2020-03-31,NA,1913832,NA,NA,17058749,NA,NA,15144917,NA,NA,7.91339939973833,0.887809358118816,0.0340124589440879,NA,1913832,NA,NA,NA,NA,-83307,2019-01-01,14206,"BSLI4",4.42969512939453,6.28104012939453,1.851345,20.6063232421875,22.4553622421875,1.849039
"31","BRB BCO DE BRASILIA S.A.",2020-12-31,"00000208000100",2021-03-31,NA,NA,NA,NA,25496999,NA,NA,NA,NA,NA,NA,NA,0.0242117513516002,NA,NA,NA,NA,NA,NA,-110200,2020-12-01,14206,"BSLI4",30.9553203582764,33.1532263582764,2.197906,32.1452865600586,34.3529085600586,2.207622
"32","BRB BCO DE BRASILIA S.A.",2020-12-31,"00000208000100",2021-03-31,NA,NA,NA,NA,25496999,NA,NA,NA,NA,NA,NA,NA,0.0242117513516002,NA,NA,NA,NA,NA,NA,-110200,2020-12-01,14206,"BSLI3",46.2533874511719,48.3410334511719,2.087646,32.1452865600586,34.3529085600586,2.207622
"33","BRB BCO DE BRASILIA S.A.",2021-12-31,"00000208000100",2022-03-31,NA,NA,NA,NA,31751760,NA,NA,NA,NA,NA,NA,NA,-0.00999443810358859,NA,NA,NA,NA,NA,NA,-148107,2021-12-01,14206,"BSLI3",24.1108512878418,27.4936292878418,3.382778,14.6869983673096,18.3890953673096,3.702097
"34","BRB BCO DE BRASILIA S.A.",2021-12-31,"00000208000100",2022-03-31,NA,NA,NA,NA,31751760,NA,NA,NA,NA,NA,NA,NA,0.0145066919125113,NA,NA,NA,NA,NA,NA,-148107,2021-12-01,14206,"BSLI4",17.8322219848633,21.4547729848633,3.622551,14.6869983673096,18.3890953673096,3.702097
"35","BRB BCO DE BRASILIA S.A.",2022-12-31,"00000208000100",2023-03-31,NA,NA,NA,NA,41360888,NA,NA,NA,NA,NA,NA,NA,-0.00255647315889349,NA,NA,NA,NA,NA,NA,-156166,2022-12-01,14206,"BSLI4",11.0066909790039,14.8447259790039,3.838035,12.2816152572632,16.1688902572632,3.887275
"36","BRB BCO DE BRASILIA S.A.",2022-12-31,"00000208000100",2023-03-31,NA,NA,NA,NA,41360888,NA,NA,NA,NA,NA,NA,NA,-0.00255647315889349,NA,NA,NA,NA,NA,NA,-156166,2022-12-01,14206,"BSLI3",12.4813928604126,16.0600658604126,3.578673,12.2816152572632,16.1688902572632,3.887275
"37","CENTRAIS ELET BRAS S.A. - ELETROBRAS",2011-12-31,"00001180000126",2012-03-30,3762019,77202321,36662672,126479760,163142432,26124809,59815302,NA,0.0487293510255993,0.0230597212134241,1.11318040554765,0.526779636336425,0.0263841169169281,2.11318040554765,NA,6854618,4474648,4103855,234453,-1723885,2011-01-01,2437,"ELET6",10.6936635971069,14.2922765971069,3.598613,9.64541721343994,14.9420302134399,5.296613
"38","CENTRAIS ELET BRAS S.A. - ELETROBRAS",2011-12-31,"00001180000126",2012-03-30,3762019,77202321,36662672,126479760,163142432,26124809,59815302,NA,0.0487293510255993,0.0230597212134241,1.11318040554765,0.526779636336425,0.0263841169169281,2.11318040554765,NA,6854618,4474648,4103855,234453,-1723885,2011-01-01,2437,"ELET3",9.03218364715576,13.5094606471558,4.477277,9.64541721343994,14.9420302134399,5.296613
"39","CENTRAIS ELET BRAS S.A. - ELETROBRAS",2011-12-31,"00001180000126",2012-03-30,3762019,77202321,36662672,126479760,163142432,26124809,59815302,NA,0.0487293510255993,0.0230597212134241,1.11318040554765,0.526779636336425,0.028353304185143,2.11318040554765,NA,6854618,4474648,4103855,234453,-1723885,2011-01-01,2437,"ELET5",23.656156539917,33.457877539917,9.801721,9.64541721343994,14.9420302134399,5.296613
"40","CENTRAIS ELET BRAS S.A. - ELETROBRAS",2012-12-31,"00001180000126",2013-03-28,-6925652,67280593,44342543,127853035,172195578,30849647,74065338,NA,-0.102936845399089,-0.0402196855484872,1.55936474876195,0.609278044294494,-0.0461605059335496,2.55936474876195,NA,-3460664,-6344271,4658821,1684475,-1775214,2012-01-01,2437,"ELET6",5.3678412437439,10.6644542437439,5.296613,2.83730363845825,8.99320063845825,6.155897
"41","CENTRAIS ELET BRAS S.A. - ELETROBRAS",2012-12-31,"00001180000126",2013-03-28,-6925652,67280593,44342543,127853035,172195578,30849647,74065338,NA,-0.102936845399089,-0.0402196855484872,1.55936474876195,0.609278044294494,-0.0461605059335496,2.55936474876195,NA,-2832245,-5478726,4335442,632509,-1688961,2012-01-01,2437,"ELET5",17.1596355438232,29.1407615438232,11.981126,2.83730363845825,8.99320063845825,6.155897
"42","CENTRAIS ELET BRAS S.A. - ELETROBRAS",2012-12-31,"00001180000126",2013-03-28,-6925652,67280593,44342543,127853035,172195578,30849647,74065338,NA,-0.102936845399089,-0.0402196855484872,1.55936474876195,0.609278044294494,-0.0461605059335496,2.55936474876195,NA,-2832245,-5478726,4335442,632509,-1688961,2012-01-01,2437,"ELET3",4.01252031326294,9.76935831326294,5.756838,2.83730363845825,8.99320063845825,6.155897
"43","CENTRAIS ELET BRAS S.A. - ELETROBRAS",2013-12-31,"00001180000126",2014-03-31,-6291375,60688908,39079834,99305567,138385401,25697889,51998604,NA,-0.103665977974097,-0.0454627074426731,1.28024206663926,0.561450069433263,-0.0375086025150876,2.28024206663926,NA,-4222712,-6422693,3712311,376685,-1512330,2013-01-01,2437,"ELET3",4.93803215026855,12.1169401502686,7.178908,4.89876937866211,12.4899293786621,7.59116
"44","CENTRAIS ELET BRAS S.A. - ELETROBRAS",2013-12-31,"00001180000126",2014-03-31,-6291375,60688908,39079834,99305567,138385401,25697889,51998604,NA,-0.103665977974097,-0.0454627074426731,1.28024206663926,0.561450069433263,-0.0375086025150876,2.28024206663926,NA,-4222712,-6434483,3712311,376685,-1500540,2013-01-01,2437,"ELET6",6.3234076499939,13.2537106499939,6.930303,4.89876937866211,12.4899293786621,7.59116
"45","CENTRAIS ELET BRAS S.A. - ELETROBRAS",2013-12-31,"00001180000126",2014-03-31,-6291375,60688908,39079834,99305567,138385401,25697889,51998604,NA,-0.103665977974097,-0.0454627074426731,1.28024206663926,0.561450069433263,-0.0375086025150876,2.28024206663926,NA,-4222712,-6434483,3712311,376685,-1500540,2013-01-01,2437,"ELET5",13.9525718688965,28.0309248688965,14.078353,4.89876937866211,12.4899293786621,7.59116
"46","CENTRAIS ELET BRAS S.A. - ELETROBRAS",2014-12-31,"00001180000126",2015-03-31,-2962502,56848500,30551193,114080504,144631697,19284008,68499189,NA,-0.0521122281150778,-0.0204830757119582,1.54416030326218,0.606943006414424,-0.0135282171238024,2.54416030326218,NA,-151891,-3580349,5205754,694625,-1777296,2014-01-01,2437,"ELET6",4.53928709030151,13.1032820903015,8.563995,5.66072940826416,14.3285714082642,8.667842
"47","CENTRAIS ELET BRAS S.A. - ELETROBRAS",2014-12-31,"00001180000126",2015-03-31,-2962502,56848500,30551193,114080504,144631697,19284008,68499189,NA,-0.0521122281150778,-0.0204830757119582,1.54416030326218,0.606943006414424,-0.0135282171238024,2.54416030326218,NA,-151891,-3580349,5205754,694625,-1777296,2014-01-01,2437,"ELET3",4.5511155128479,12.1422755128479,7.59116,5.66072940826416,14.3285714082642,8.667842
"48","CENTRAIS ELET BRAS S.A. - ELETROBRAS",2014-12-31,"00001180000126",2015-03-31,-2962502,56848500,30551193,114080504,144631697,19284008,68499189,NA,-0.0521122281150778,-0.0204830757119582,1.54416030326218,0.606943006414424,-0.0135282171238024,2.54416030326218,NA,-151891,-3580349,5205754,694625,-1777296,2014-01-01,2437,"ELET5",12.0559415817261,28.2315185817261,16.175577,5.66072940826416,14.3285714082642,8.667842
"49","CENTRAIS ELET BRAS S.A. - ELETROBRAS",2015-12-31,"00001180000126",2016-03-31,-14953658,41739222,29437396,120208012,149645408,28099643,79806543,NA,-0.358263936975155,-0.0999272760845425,2.58524670153172,0.721079166024259,-0.0838283056436987,3.58524670153172,NA,3987496,-12122145,17952241,-1699025,-1842600,2015-01-01,2437,"ELET6",7.16034936904907,15.8281913690491,8.667842,10.1056880950928,17.6968480950928,7.59116
"50","CENTRAIS ELET BRAS S.A. - ELETROBRAS",2015-12-31,"00001180000126",2016-03-31,-14953658,41739222,29437396,120208012,149645408,28099643,79806543,NA,-0.358263936975155,-0.0999272760845425,2.58524670153172,0.721079166024259,-0.0838283056436987,3.58524670153172,NA,3987496,-12122145,17952241,-1699025,-1842600,2015-01-01,2437,"ELET5",8.82496070861816,25.1005217086182,16.275561,10.1056880950928,17.6968480950928,7.59116
"51","CENTRAIS ELET BRAS S.A. - ELETROBRAS",2015-12-31,"00001180000126",2016-03-31,-14953658,41739222,29437396,120208012,149645408,28099643,79806543,NA,-0.358263936975155,-0.0999272760845425,2.58524670153172,0.721079166024259,-0.0838283056436987,3.58524670153172,NA,3987496,-12122145,17952241,-1699025,-1842600,2015-01-01,2437,"ELET3",5.23852348327637,12.8296834832764,7.59116,10.1056880950928,17.6968480950928,7.59116
"52","CENTRAIS ELET BRAS S.A. - ELETROBRAS",2016-12-31,"00001180000126",2017-03-31,3513276,44064927,29272652,141226777,170499429,31138510,95295992,NA,0.079729531833787,0.020605793348434,2.86927746413832,0.741553814822453,0.093576964413177,3.86927746413832,NA,12155158,2775553,11223390,-5929311,-1843785,2016-01-01,2437,"ELET5",17.9126510620117,34.1882120620117,16.275561,9.95556545257568,17.5467254525757,7.59116
"53","CENTRAIS ELET BRAS S.A. - ELETROBRAS",2016-12-31,"00001180000126",2017-03-31,3513276,44064927,29272652,141226777,170499429,31138510,95295992,NA,0.079729531833787,0.020605793348434,2.86927746413832,0.741553814822453,0.093576964413177,3.86927746413832,NA,10156571,776966,11223390,-3930724,-1843785,2016-01-01,2437,"ELET3",13.5111255645752,21.1022855645752,7.59116,9.95556545257568,17.5467254525757,7.59116
"54","CENTRAIS ELET BRAS S.A. - ELETROBRAS",2016-12-31,"00001180000126",2017-03-31,3513276,44064927,29272652,141226777,170499429,31138510,95295992,NA,0.079729531833787,0.020605793348434,2.86927746413832,0.741553814822453,0.093576964413177,3.86927746413832,NA,12155158,2775553,11223390,-5929311,-1843785,2016-01-01,2437,"ELET6",14.9083890914917,23.5762310914917,8.667842,9.95556545257568,17.5467254525757,7.59116
"55","CENTRAIS ELET BRAS S.A. - ELETROBRAS",2017-12-31,"00001180000126",2018-03-29,2453523,42752532,37358727,135616632,172975359,34186952,96035875,NA,0.0573889518403261,0.0141842341833209,3.04596759321764,0.752840333749502,0.0359511726754098,4.04596759321764,NA,7093687,3693615,5151375,-5193296,-1751303,2017-01-01,2437,"ELET3",16.5926094055176,24.1837694055176,7.59116,10.758415222168,21.218527222168,10.460112
"56","CENTRAIS ELET BRAS S.A. - ELETROBRAS",2017-12-31,"00001180000126",2018-03-29,2453523,42752532,37358727,135616632,172975359,34186952,96035875,NA,0.0573889518403261,0.0141842341833209,3.04596759321764,0.752840333749502,0.0359511726754098,4.04596759321764,NA,7557909,3911914,5397298,-1736116,-1751303,2017-01-01,2437,"ELET6",17.6619777679443,28.1220897679443,10.460112,10.758415222168,21.218527222168,10.460112
"57","CENTRAIS ELET BRAS S.A. - ELETROBRAS",2017-12-31,"00001180000126",2018-03-29,2453523,42752532,37358727,135616632,172975359,34186952,96035875,NA,0.0573889518403261,0.0141842341833209,3.04596759321764,0.752840333749502,0.0359511726754098,4.04596759321764,NA,7557909,3911914,5397298,-1736116,-1751303,2017-01-01,2437,"ELET5",17.2388553619385,35.8152113619385,18.576356,10.758415222168,21.218527222168,10.460112
"58","CENTRAIS ELET BRAS S.A. - ELETROBRAS",2018-12-31,"00001180000126",2019-03-29,15226620,56008948,46845413,134364795,181210208,36523971,88677289,NA,0.271860489148984,0.0840273854770919,2.23537960398756,0.690917257818058,0.10092373493661,3.23537960398756,NA,22447909,15173696,9126934,-578073,-1852721,2018-01-01,2437,"ELET3",28.9896583557129,36.5808183557129,7.59116,28.7652893066406,37.2149483066406,8.449659
"59","CENTRAIS ELET BRAS S.A. - ELETROBRAS",2018-12-31,"00001180000126",2019-03-29,15226620,56008948,46845413,134364795,181210208,36523971,88677289,NA,0.271860489148984,0.0840273854770919,2.23537960398756,0.690917257818058,0.10092373493661,3.23537960398756,NA,21409532,14190434,9071819,-1374631,-1852721,2018-01-01,2437,"ELET6",27.7461624145508,38.2062744145508,10.460112,28.7652893066406,37.2149483066406,8.449659
